"","q_m3_h","y_cm","slope_m_m","group","slope_perc","q_m3_s","y_m","area","perimeter","radius","radius.root","vel","c.exp","n.Manning","m.Kutter","s.Bazin","Froude","n.Manning.norm","m.Kutter.norm","s.Bazin.norm"
"1",1,2.6,0.001,"g01","0.1",0.000277777777777778,0.026,0.002236,0.138,0.0162028985507246,0.127290606686922,0.124229775392566,30.8623749761741,0.016299318335057,0.285155314228727,0.231537344509693,0.25,1.47806411918034,1.78797023618503,1.9394845825651
"2",2,3.2,0.001,"g01","0.1",0.000555555555555556,0.032,0.002752,0.15,0.0183466666666667,0.135449867724803,0.20187338501292,47.1303299391874,0.0108966344457741,0.151944402375947,0.11458314726285,0.36,0.988134844846984,0.952716135548516,0.959811679660947
"3",3,3.8,0.001,"g01","0.1",0.000833333333333333,0.038,0.003268,0.162,0.0201728395061728,0.142031121611332,0.25499796001632,56.7744831695946,0.00918984069051389,0.108136055053336,0.0756143220869292,0.42,0.833358396124885,0.678030666960485,0.633387293178409
"4",4,4.3,0.001,"g01","0.1",0.00111111111111111,0.043,0.003698,0.172,0.0215,0.146628782986152,0.300462712577369,64.7994550828907,0.00813770089048306,0.0796521059481547,0.0502355903866949,0.46,0.737947652263141,0.499431669614699,0.42080102999096
"5",5,4.9,0.001,"g01","0.1",0.00138888888888889,0.049,0.004214,0.184,0.0229021739130435,0.151334642144631,0.329589200021094,68.8707191882338,0.00773769309228141,0.0684026336213025,0.0398367877717312,0.48,0.701673916039305,0.42889564699979,0.333694920211699
"6",6,5.25,0.001,"g01","0.1",0.00166666666666667,0.0525,0.004515,0.191,0.0236387434554974,0.153748962453401,0.369139904023625,75.9239511827214,0.00705600039822476,0.0487549379078739,0.0224294308609082,0.51,0.639856268780686,0.305701396735695,0.187881291644598
"7",7,5.8,0.001,"g01","0.1",0.00194444444444444,0.058,0.004988,0.202,0.0246930693069307,0.157140285436074,0.389824467611156,78.447942352458,0.00687882544609549,0.0431712596775758,0.0171307588128014,0.52,0.623789588311201,0.270690825352132,0.14349669024419
"8",8,6.1,0.001,"g01","0.1",0.00222222222222222,0.061,0.005246,0.208,0.0252211538461538,0.158811693039757,0.423603168551701,84.3483758058195,0.00642023267472123,0.029468984000618,0.00499249598536935,0.55,0.582203216001025,0.18477532647859,0.0418199017210231
"9",1,2.1,0.003,"g01","0.3",0.000277777777777778,0.021,0.001806,0.128,0.014109375,0.118782890182046,0.153808293343177,23.6409670523865,0.0207931071548144,0.383662250572275,0.318344382274213,0.34,1.88557245033374,2.40562476146161,2.66662823949422
"10",2,2.7,0.003,"g01","0.3",0.000555555555555556,0.027,0.002322,0.14,0.0165857142857143,0.128785536011286,0.239257345200498,33.9185721921517,0.0148885179095356,0.250904786098102,0.201545044223881,0.46,1.35012910708829,1.57321384969856,1.68825252268649
