q_m3_h,y_cm,slope_m_m,group,slope_perc,q_m3_s,y_m,area,perimeter,radius,radius.root,vel,c.exp,n.Manning,m.Kutter,s.Bazin,Froude,n.Manning.norm,m.Kutter.norm,s.Bazin.norm,tempV
1,2.6,0.001,g01,0.1,0.0,0.026,0.002,0.138,0.016,0.127,0.124,30.862,0.016,0.285,0.232,0.246,1.478,1.788,1.939,0.12
2,3.2,0.001,g01,0.1,0.001,0.032,0.003,0.15,0.018,0.135,0.202,47.13,0.011,0.152,0.115,0.36,0.988,0.953,0.96,0.2
3,3.8,0.001,g01,0.1,0.001,0.038,0.003,0.162,0.02,0.142,0.255,56.774,0.009,0.108,0.076,0.418,0.833,0.678,0.633,0.25
4,4.3,0.001,g01,0.1,0.001,0.043,0.004,0.172,0.022,0.147,0.3,64.799,0.008,0.08,0.05,0.463,0.738,0.499,0.421,0.3
5,4.9,0.001,g01,0.1,0.001,0.049,0.004,0.184,0.023,0.151,0.33,68.871,0.008,0.068,0.04,0.475,0.702,0.429,0.334,0.33
6,5.25,0.001,g01,0.1,0.002,0.052,0.005,0.191,0.024,0.154,0.369,75.924,0.007,0.049,0.022,0.514,0.64,0.306,0.188,0.37
7,5.8,0.001,g01,0.1,0.002,0.058,0.005,0.202,0.025,0.157,0.39,78.448,0.007,0.043,0.017,0.517,0.624,0.271,0.143,0.39
8,6.1,0.001,g01,0.1,0.002,0.061,0.005,0.208,0.025,0.159,0.424,84.348,0.006,0.029,0.005,0.548,0.582,0.185,0.042,0.42
1,2.1,0.003,g01,0.3,0.0,0.021,0.002,0.128,0.014,0.119,0.154,23.641,0.021,0.384,0.318,0.339,1.886,2.406,2.667,0.15
2,2.7,0.003,g01,0.3,0.001,0.027,0.002,0.14,0.017,0.129,0.239,33.919,0.015,0.251,0.202,0.465,1.35,1.573,1.688,0.24
3,3.25,0.003,g01,0.3,0.001,0.032,0.003,0.151,0.019,0.136,0.298,40.01,0.013,0.204,0.16,0.528,1.166,1.279,1.338,0.3
4,3.8,0.003,g01,0.3,0.001,0.038,0.003,0.162,0.02,0.142,0.34,43.705,0.012,0.183,0.141,0.557,1.083,1.147,1.179,0.34
5,4.35,0.003,g01,0.3,0.001,0.044,0.004,0.173,0.022,0.147,0.371,46.094,0.011,0.172,0.13,0.568,1.038,1.078,1.093,0.37
6,4.85,0.003,g01,0.3,0.002,0.048,0.004,0.183,0.023,0.151,0.4,48.323,0.011,0.161,0.121,0.579,0.999,1.012,1.012,0.4
7,5.1,0.003,g01,0.3,0.002,0.051,0.004,0.188,0.023,0.153,0.443,52.992,0.01,0.135,0.098,0.627,0.915,0.85,0.821,0.44
