q_m3_h	y_cm	slope_m_m	group
1	2.600	0.001	g01
2	3.200	0.001	g01
3	3.800	0.001	g01
4	4.300	0.001	g01
5	4.900	0.001	g01
6	5.250	0.001	g01
7	5.800	0.001	g01
8	6.100	0.001	g01
1	2.100	0.003	g01
2	2.700	0.003	g01
3	3.250	0.003	g01
4	3.800	0.003	g01
5	4.350	0.003	g01
6	4.850	0.003	g01
7	5.100	0.003	g01
8	5.300	0.003	g01
1	1.850	0.005	g02
2	2.300	0.005	g02
3	2.700	0.005	g02
4	3.100	0.005	g02
5	3.600	0.005	g02
6	3.850	0.005	g02
7	4.200	0.005	g02
8	4.550	0.005	g02
1	1.750	0.007	g02
2	2.100	0.007	g02
3	2.600	0.007	g02
4	2.900	0.007	g02
5	3.100	0.007	g02
6	3.500	0.007	g02
7	4.000	0.007	g02
8	4.350	0.007	g02
1	1.600	0.01	g03
2	2.000	0.01	g03
3	2.300	0.01	g03
4	2.800	0.01	g03
5	3.100	0.01	g03
6	3.200	0.01	g03
7	3.400	0.01	g03
8	3.800	0.01	g03
1	2.600	0.0005	g03
2	3.200	0.0005	g03
3	4.000	0.0005	g04
4	4.400	0.0005	g04
5	5.100	0.0005	g04
6	5.400	0.0005	g04
7	6.000	0.0005	g04
8	6.200	0.0005	g04
